index,region,reqhospit,travtimesfrombases,travttonearesth,onsitetime,traveltfromhtobases,inqueue,time_request,response_time,timetoHospital,finishedService,servedbyAmbIndex
24,1,0,"[24.567, 40.5, 55.9, 19.783, 41.633]",19.783,60.0,"[18.617, 29.283, 44.167, 0.0, 39.4]",false,2789.8599999999997,2813.6429999999996,0.0,2873.6429999999996,7
6659,9,0,"[47.2, 30.783]",30.783,60.0,"[42.35, 0.0]",false,2807.65,2842.433,0.0,2902.433,82
4203,8,0,"[38.683, 30.6, 13.117, 59.083, 56.167]",13.117,60.0,"[47.733, 35.35, 0.0, 62.25, 63.933]",false,2825.16,2842.277,0.0,2902.277,74
6660,9,0,"[16.2, 41.65]",16.2,60.0,"[0.0, 44.55]",false,2833.8199999999997,2854.0199999999995,0.0,2914.0199999999995,79
3078,7,0,"[48.283, 73.65, 40.067, 91.333, 65.083, 14.95]",14.95,60.0,"[39.85, 77.517, 31.517, 82.683, 56.2, 0.0]",false,2837.4300000000003,2856.38,0.0,2916.38,60
2005,5,1,"[35.05, 40.65, 92.533, 107.8, 27.717]",27.717,60.0,"[29.567, 27.383, 76.7, 92.4, 0.0]",false,2839.8,2871.5170000000003,2959.2340000000004,2959.2340000000004,38
2006,5,0,"[97.55, 127.783, 49.083, 34.617, 113.317]",34.617,60.0,"[96.55, 107.233, 39.25, 0.0, 90.7]",false,2847.12,2885.737,0.0,2945.737,37
3079,7,0,"[62.383, 67.483, 113.817, 17.467, 42.383, 94.383]",17.467,60.0,"[49.817, 67.1, 101.967, 0.0, 31.067, 85.433]",false,2856.09,2877.5570000000002,0.0,2937.5570000000002,55
1077,3,1,"[22.95, 50.817, 49.45, 44.917, 29.217]",22.95,60.0,"[0.0, 40.067, 38.583, 38.333, 36.683]",false,2860.4,2887.35,2970.2999999999997,2970.2999999999997,19
2007,5,0,"[4.417, 40.267, 75.067, 92.983, 27.617]",4.417,60.0,"[0.0, 41.8, 78.517, 96.25, 31.5]",false,2877.3199999999997,2885.7369999999996,0.0,2945.7369999999996,33
4204,8,0,"[40.917, 30.5, 4.55, 58.983, 62.583]",4.55,60.0,"[47.733, 35.35, 0.0, 62.25, 63.933]",false,2919.93,2928.48,0.0,2988.48,74
3080,7,0,"[39.4, 56.783, 90.833, 18.9, 19.4, 71.4]",18.9,60.0,"[49.817, 67.1, 101.967, 0.0, 31.067, 85.433]",false,2923.14,2946.04,0.0,3006.04,56
6661,9,0,"[9.167, 42.967]",9.167,60.0,"[0.0, 44.55]",false,2935.42,2948.587,0.0,3008.587,79
3081,7,0,"[53.35, 28.483, 83.0, 65.567, 53.0, 55.517]",28.483,60.0,"[57.933, 0.0, 99.7, 66.367, 50.483, 74.033]",false,2942.57,2975.0530000000003,0.0,3035.0530000000003,50
664,2,0,"[43.067, 72.0, 28.0]",28.0,60.0,"[54.4, 82.633, 0.0]",false,2982.32,3014.32,0.0,3074.32,18
7619,10,0,"[17.767, 41.433, 75.1, 29.55, 52.267, 38.283]",17.767,60.0,"[0.0, 54.933, 65.05, 25.3, 41.033, 40.917]",false,2992.38,3014.147,0.0,3074.147,86
1078,3,0,"[38.45, 20.033, 64.133, 51.85, 67.033]",20.033,60.0,"[38.333, 0.0, 68.967, 33.817, 62.533]",false,2999.14,3023.173,0.0,3083.173,21
